Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Difficulty hearing,Nonmetropolitan,21.1,"19.5, 22.7","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Northeast,13.3,"12.2, 14.5","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Midwest,16.1,"14.9, 17.4","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,South,14.4,"13.5, 15.3","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,West,14.6,"13.6, 15.7","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Large MSA,12.3,"11.7, 12.9","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Small MSA,15.7,"14.8, 16.8","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Not in MSA,21.1,"19.5, 22.7","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Private,9.3,"8.8,  9.9","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Medicaid or other public,11.4,"10.0, 12.9","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Other coverage,22.8,"19.7, 26.2","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Uninsured,8.8,"7.7, 10.1","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Private,31.6,"29.8, 33.5","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Medicare and Medicaid,28.3,"23.9, 33.1","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
Difficulty hearing,Medicare Advantage,30.1,"28.0, 32.3","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.",2019
